siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
Bobcat,6,2013,186.1,35.142853,-106.6819814,22.63,70.12,NULL,25.13,12.533,2013
AOP/Umbreit (Albuquerque Overbank Project),17,2013,162.4,35.145288,-106.6803699,122.64,37.76,NULL,NULL,13.083,2013
Santo Domingo,2,2013,186.68,35.126753,-106.6884322,170.52,NULL,139,NULL,13.341,2013
Rt 66,14,2013,401.33,34.258342,-106.8831845,35.64,79.78,NULL,NULL,15.408,2013
Diversion,7,2013,299.78,34.167032,-106.8899486,172.98,NULL,0.07,23.94,15.991,2013
Bosque Farms,22,2013,284.85,35.197056,-106.6439494,156.98,6.25,0.03,NULL,16.325,2013
San Jose,19,2013,236.23,34.660546,-106.7429525,62.3,17.69,NULL,18.89,16.87,2013
VDO (Valle de Oro),20,2013,275.78,35.100641,-106.6914783,135.5,48.33,NULL,6.25,17.15,2013
SLO (State Land Office),21,2013,304.34,35.195569,-106.6416219,154.11,NULL,0.04,NULL,17.216,2013
Savannah,12,2013,208.8,35.193151,-106.646915,41.17,0.89,8.54,0.25,17.487,2013
BioPark,15,2013,322.01,34.648634,-106.7391728,15.76,6.06,NULL,NULL,17.725,2013
Santa Ana,3,2013,406.61,34.812369,-106.714458,169.9,42.52,2.18,NULL,18.066,2013
Montano,11,2013,193.52,35.190568,-106.6491626,145.8,NULL,16.15,0.34,18.129,2013
Ohkay Owingeh,1,2013,356.5,35.188051,-106.646919,129.97,3.6,171.07,1.77,18.358,2013
Alameda,10,2013,142.05,35.191958,-106.6441893,137.71,NULL,0.29,13.87,18.622,2013
Los Lunas,23,2013,207.36,35.066889,-106.7202778,73.35,NULL,NULL,NULL,18.829,2013
Reynolds Cleared,25,2013,244.82,34.637511,-106.7434661,197.78,6.86,NULL,28.76,19.979,2013
Minnow,8,2013,348.84,35.068813,-106.6580575,31.01,7.25,7.98,NULL,20.025,2013
